YORF	NAME	PROCESS	FUNCTION	MICROARRAY_CLASSIFICATION	TRADITIONAL_CLASSIFICATION	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18
YJL099W	CHS6	biological_process_unknown_	molecular_function_unknown_	S/G2	None	-0.00978	-0.01274	-0.02401	0.0009	-0.02917	0.01132	0.00137	0.00727	-0.00402	0.00341	-0.01001	-0.0173	0.00395	-0.00382	0.00065	-0.00456	-0.0027	-0.00003
YJL101C	GSH1	biological_process_unknown_	glutamate--cysteine_ligase_	None	None	-0.01294	-0.01096	-0.02023	-0.00025	0.01455	0.00023	0.00282	0.00053	0.00224	0.01245	0.01668	-0.02394	0.00257	-0.00764	0.01015	0.00718	-0.00271	-0.00331
YJL109C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01113	-0.00428	-0.00862	-0.00859	0.01142	-0.0101	0.01608	-0.01216	-0.0073	-0.01257	0.01209	-0.00802	-0.00132	0.00381	-0.0021	-0.00667	0.02593	0.0023
YJL115W	ASF1	transcription_	molecular_function_unknown_	G1	G1	-0.01123	-0.0119	0.04265	-0.00291	0.0065	0.00884	-0.03534	0.00705	0.01572	-0.04339	-0.04039	-0.00343	-0.05402	-0.02334	-0.05595	0.03847	0.01197	0.01754
YJL117W	PHO86	transport_	molecular_function_unknown_	None	None	-0.00908	-0.00966	0.0022	0.00542	0.01229	-0.0073	-0.00326	0.01762	-0.00239	-0.01555	-0.01836	0.00023	-0.01024	-0.00947	0.03052	-0.00927	0.01323	0.00249
YJL121C	RPE1	biological_process_unknown_	ribulose-phosphate_3-epimerase_	None	None	-0.00862	-0.0079	0.00735	-0.00521	-0.00319	0.00293	0.00538	0.00383	-0.01003	-0.01027	-0.00547	0.00998	-0.00367	-0.00862	0.02632	-0.01013	-0.00799	-0.00369
YJL122W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01245	-0.00818	-0.01335	-0.00433	0.0002	-0.00917	-0.00987	-0.01312	-0.00223	-0.00873	0.00771	-0.00777	-0.01594	-0.00329	-0.01024	0.00746	0.00585	-0.00093
YJL123C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.009	-0.0052	-0.008	-0.008	0.00119	-0.0031	-0.01168	-0.00713	0.00635	-0.01141	0.00071	-0.00505	-0.00181	-0.0104	-0.0151	0.00069	-0.00073	-0.01282
YJL124C	LSM1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01008	-0.01097	-0.01067	0.00411	-0.00693	-0.00018	-0.00818	-0.00259	0.00498	0.0027	-0.00027	-0.01538	0.00098	-0.00403	-0.00698	-0.00596	0.00335	-0.00308
YJL125C	GCD14	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01221	-0.00741	-0.02615	-0.01288	-0.00972	-0.00906	-0.00146	-0.00018	-0.00248	-0.00595	-0.00178	-0.0028	-0.00205	-0.01688	0.00418	0.00548	0.00084	0.00114
YJL128C	PBS2	protein_phosphorylation*_	MAP_kinase_kinase*_	None	None	-0.01339	-0.01411	-0.00185	0.00352	-0.00104	0.00063	-0.01555	-0.01024	0.00712	0.00414	-0.00065	-0.03399	-0.00017	-0.0057	-0.01931	0.00671	0.00515	0.00267
YJL130C	URA2	biological_process_unknown_	aspartate_carbamoyltransferase_	None	None	-0.00996	-0.00582	0.00275	-0.00128	-0.01037	-0.0084	-0.00215	-0.01509	0.00246	0.01157	0.01272	-0.03641	0.00392	-0.0042	-0.02307	0.00623	0.00645	-0.02128
YJL133W	MRS3	transport*_	carrier_	None	None	-0.01329	-0.0103	-0.01669	-0.00998	0.00066	0.01489	0.00527	0.00328	0.01236	-0.00681	-0.01127	0.01447	0.00706	-0.01195	-0.00851	0.00309	-0.00267	0.01083
YJL134W	LCB3	sphingolipid_metabolism_	molecular_function_unknown_	S/G2	None	-0.00886	-0.01162	0.0069	0.00247	-0.00943	-0.00956	0.00828	-0.00896	0.02748	-0.01223	0.0019	0.00632	-0.00834	-0.00541	0.00529	0.00155	-0.00849	0.00071
YJL136C	RPS21B	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	-0.00908	-0.00328	-0.00128	-0.00368	0.00486	-0.00072	-0.00792	0.00278	0.00629	-0.01734	0.00723	0.0115	0.00087	0.02149	-0.00993	-0.00885	0.00283	-0.01483
YJL138C	TIF2	protein_synthesis_initiation*_	translation_initiation_factor*_	None	None	-0.01378	-0.01505	0.01049	0.01035	-0.00448	-0.00576	0.01202	-0.00452	0.01831	-0.00974	0.00251	0.00758	-0.00441	0.00684	-0.01526	0.00913	-0.00355	0.00275
YJL140W	RPB4	transcription_from_Pol_II_promoter_	DNA-directed_RNA_polymerase_II_	None	None	-0.01272	-0.01657	0.01261	0.01797	0.00097	-0.01297	0.00205	-0.00632	0.01568	-0.0052	0.00717	0.01488	-0.00485	0.00205	-0.00187	0.00419	-0.0047	0.00803
YJL141C	YAK1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00871	-0.00947	0.01402	0.00537	-0.00127	-0.0002	0.00615	-0.0005	-0.00064	-0.00719	-0.00151	-0.01013	0.0034	0.00388	0.00064	-0.01134	-0.01096	-0.00736
YJL142C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01488	-0.0224	0.01124	0.02583	0.00801	0.00053	0.00546	-0.00304	0.01842	-0.00577	-0.00159	0.0197	0.00137	0.00807	-0.0038	0.00339	-0.01077	0.01765
YJL143W	TIM17	mitochondrial_translocation_	protein_transporter_	None	None	-0.0061	-0.0039	0.00664	-0.01139	0.01375	-0.00083	0.00948	-0.01131	-0.00091	-0.01254	-0.00897	0.02316	-0.01386	-0.01584	0.01988	-0.01359	-0.00958	-0.01513
YJL145W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00831	-0.00501	0.00562	0.00216	0.00031	-0.00426	0.00243	0.01106	-0.00231	-0.02088	-0.00145	0.01262	-0.00973	0.00389	0.00563	-0.01059	-0.01019	-0.01514
YJL148W	RPA34	transcription_from_Pol_I_promoter_	DNA-directed_RNA_polymerase_I_	None	None	-0.01272	-0.00971	-0.0087	0.00677	-0.01308	-0.01054	-0.00897	0.00288	-0.01094	-0.00986	0.00391	-0.01241	0.00352	-0.00379	-0.00899	-0.00599	0.00898	0.00481
YJL149W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00809	-0.00685	-0.01903	-0.00291	-0.00543	0.00227	-0.01619	0.00582	-0.0026	-0.01273	-0.01139	-0.02034	0.00062	0.00887	0.00706	0.00908	0.0037	-0.01535
YJL151C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.0079	-0.00254	-0.02037	-0.01608	0.01284	0.01567	-0.00057	0.00809	-0.00012	-0.00664	-0.00691	-0.00193	-0.00441	-0.00127	-0.00002	-0.00275	-0.00289	-0.01092
YJL152W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00933	-0.00778	-0.01553	-0.0005	0.01385	0.01271	-0.00783	-0.00092	-0.00006	0.0035	0.00588	0.00038	-0.00627	0.00164	-0.0077	-0.00011	0.00193	-0.00732
YJL154C	VPS35	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00996	-0.00904	-0.00381	0.0033	0.00908	-0.00113	-0.00155	-0.0097	0.00056	0.00212	0.01321	-0.00654	-0.00239	0.00444	-0.01207	-0.0005	0.00822	-0.00763
YJL156C	SSY5	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01022	-0.00987	-0.00088	0.01302	0.00457	-0.00521	-0.00277	-0.01428	-0.00221	0.00527	0.00454	-0.00606	0.01024	-0.00251	0.00935	-0.00617	0.00007	-0.00308
YJL158C	CIS3	cell_wall_organization_and_biogenesis_	cell_wall_structural_protein_	S/G2	None	-0.00818	-0.01317	-0.04412	-0.03904	-0.01356	-0.00584	0.00436	-0.00744	0.00078	-0.00784	-0.01176	-0.0152	-0.04602	-0.00151	0.02125	-0.01317	0.00079	-0.00562
YJL159W	HSP150	cell_wall_organization_and_biogenesis_	cell_wall_structural_protein_	M/G1	None	-0.01717	-0.01116	0.03317	0.01143	0.0953	-0.01126	-0.00287	0.04897	-0.02289	0.00777	-0.00142	0.00633	0.02669	-0.00387	0.00546	0.03109	-0.00662	0.0054
YJL162C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01229	-0.01647	0.0171	0.02363	-0.01768	-0.00202	0.0003	-0.00214	-0.00432	-0.00517	0.01501	0.01543	-0.01133	0.00189	0.00464	0.0257	-0.00878	0.00828
YJL163C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01079	-0.01777	0.02361	0.01628	-0.05497	0.01894	0.00597	0.03133	0.00469	-0.01012	-0.01295	0.00974	0.00372	-0.00306	0.01701	0.01019	-0.01102	0.0312
YJL165C	HAL5	biological_process_unknown_	molecular_function_unknown_	None	None	-0.0105	-0.0076	0.01587	0.00571	-0.0111	0.0024	0.0012	-0.00086	-0.00574	-0.00601	-0.00494	-0.00842	-0.00559	0.00692	0.00219	0.00369	-0.01072	0.00016
YJL166W	QCR8	biological_process_unknown_	ubiquinol-cytochrome-c_reductase_	None	None	-0.01398	-0.0171	0.0077	0.01408	-0.00028	0.01097	0.00005	0.01114	0.00651	0.00122	-0.01028	0.01769	-0.01346	-0.00394	0.00676	0.00258	-0.0099	0.02095
YJL167W	ERG20	ergosterol_biosynthesis_	dimethylallyltransferase*_	None	None	-0.00628	-0.00505	0.00853	-0.00829	-0.00312	0.00499	0.00975	0.00436	-0.00038	-0.00208	-0.00238	0.00499	-0.00359	-0.00483	0.00088	-0.00637	-0.00519	-0.01175
YJL168C	SET2	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01404	-0.02052	0.02148	0.01976	-0.00348	-0.00763	-0.00246	-0.01098	0.00071	0.00432	0.01277	0.0047	0.00012	0.00672	0.00412	-0.00059	-0.01549	0.00534
YJL169W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00552	-0.00932	0.01259	0.0008	-0.01437	0.00426	0.00773	0.01473	-0.01224	-0.00068	-0.00169	-0.00282	0.00064	-0.00173	0.01526	-0.01375	-0.01311	-0.01011
YJL171C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00692	-0.00138	-0.02955	-0.02228	-0.00618	0.01086	0.00063	-0.00032	0.01332	0.01825	-0.00428	-0.02014	0.00474	0.00475	0.00142	-0.01188	0.00128	-0.02243
YJL172W	CPS1	biological_process_unknown_	gly-X_carboxypeptidase_	None	None	-0.00055	0.00519	-0.00144	-0.02075	0.02758	-0.00811	-0.01404	-0.00676	0.00613	-0.00458	0.02527	-0.01182	0.00705	-0.03239	0.01057	-0.02204	0.02118	-0.04
YJL173C	RFA3	nucleotide-excision_repair*_	DNA_replication_factor_	G1	G1	-0.00852	-0.00791	-0.01425	-0.03692	-0.005	0.01536	0.00288	0.00303	0.01254	-0.02106	-0.01719	-0.00495	0.0053	-0.01531	0.00881	0.00511	-0.00572	0.01292
YJL174W	KRE9	cell_wall_organization_and_biogenesis*_	molecular_function_unknown_	None	None	-0.01052	-0.01229	-0.01374	-0.00855	-0.00054	0.01204	-0.00226	0.00009	-0.00989	0.0049	0.01315	0.00002	0.011	-0.01083	0.0168	-0.00867	0.0023	0.00663
YJL175W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00786	-0.00967	-0.01138	-0.02541	-0.00676	0.01206	0.0042	0.00631	-0.00596	-0.0029	0.00069	-0.01988	0.00245	-0.00292	-0.00034	-0.00129	-0.00121	-0.00027
YJL177W	RPL17B	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	-0.01354	-0.00965	-0.02716	-0.01996	0.0023	0.01406	0.01544	0.01113	0.00846	-0.02122	-0.02228	-0.01359	-0.0001	0.02182	-0.01168	0.00457	-0.00534	0.01114
YJL183W	MNN11	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00518	-0.00568	0.00666	-0.01057	-0.01363	-0.0062	0.01318	0.00095	0.0119	-0.01418	0.0079	0.00196	-0.01039	-0.00195	0.01435	-0.00524	0.00049	-0.01043
YJL184W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01255	-0.01973	0.00648	0.01807	-0.01137	-0.01116	0.0016	-0.00273	0.0152	-0.00251	0.00082	0.00357	-0.00238	-0.0231	-0.0098	0.0038	0.0012	0.01372
YJL186W	MNN5	protein_glycosylation_	molecular_function_unknown_	None	None	-0.01	-0.01301	0.01051	0.00779	-0.00104	0.00065	0.00409	-0.00314	0.0013	-0.006	0.01527	0.00014	-0.00959	-0.01461	0.00237	0.00428	-0.00459	0.01188
YJL189W	RPL39	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	-0.00988	-0.01623	0.00703	-0.00127	-0.00969	0.01107	0.02027	0.00269	-0.00412	-0.00713	-0.02471	-0.00972	-0.00419	0.0123	0.00979	-0.00249	-0.016	0.0174
YJL191W	RPS14B	protein_biosynthesis*_	structural_protein_of_ribosome*_	None	None	-0.0076	-0.00834	0.00592	-0.00825	0.00585	0.00342	0.01433	-0.01285	0.001	-0.00845	-0.00177	0.00638	-0.00941	0.00662	-0.0018	-0.00606	-0.01401	-0.0052
YJL192C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.0139	-0.01318	0.01049	0.00637	0.01237	-0.01273	-0.00337	-0.00845	0.01692	-0.01058	0.00536	0.0142	-0.01317	-0.00306	-0.00208	0.00323	-0.00787	0.00667
YJL196C	ELO1	fatty_acid_metabolism_	molecular_function_unknown_	M/G1	None	-0.00839	-0.00983	-0.00742	-0.02204	0.03481	-0.00105	-0.01208	0.01968	-0.01152	-0.00121	0.0061	0.01838	0.01941	-0.00898	0.01188	-0.01284	-0.01561	-0.00776
YJL197W	UBP12	deubiquitylation_	ubiquitin-specific_protease_	None	None	-0.01	-0.00644	-0.00571	-0.0087	0.00715	-0.00215	0.00383	-0.00348	0.00325	-0.00539	-0.0008	-0.01277	0.00747	0.00004	0.00178	0.00483	0.00172	-0.00449
YJL198W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01158	-0.00955	-0.00879	-0.00389	0.00393	-0.01424	0.00617	-0.0205	-0.00612	0.00423	0.00902	0.00074	-0.00602	-0.00978	0.00224	0.00348	0.00305	-0.00442
YJL208C	NUC1	DNA_recombination_	endodeoxyribonuclease*_	None	None	-0.01441	-0.01513	0.00523	0.00472	-0.00772	-0.00631	-0.0039	0.0041	0.00236	-0.01735	-0.02048	0.01325	-0.00733	-0.02003	0.00126	0.02073	-0.00661	0.01889
YJL212C	OPT1	transport_	oligopeptide_transporter_	None	None	-0.01541	-0.01762	0.00921	0.00985	0.00123	-0.01189	0.00428	-0.01216	-0.00073	-0.00877	0.01436	0.01351	0.0007	-0.01587	0.03297	0.01397	-0.00345	0.01851
YJL213W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.0043	-0.00926	0.01815	-0.00421	-0.00933	0.00036	0.02767	-0.0002	-0.00684	0.00893	-0.0092	-0.00656	-0.01578	-0.00717	0.00462	0.00356	-0.00224	-0.01331
YJL217W	None	biological_process_unknown_	molecular_function_unknown_	G1	None	-0.00816	-0.01172	0.03285	-0.03487	0.02321	0.02063	0.04087	0.01806	-0.01327	-0.01411	0.01421	0.00026	0.0076	0.00449	0.00801	-0.00306	-0.0389	0.01004
YJL223C	PAU1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00927	-0.00756	-0.01436	-0.01892	0.00458	0.01254	0.0124	-0.0015	0.00309	0.00841	-0.01027	-0.00587	0.00788	-0.00755	-0.00388	-0.00722	-0.00455	0.00281
YJL225C	None	biological_process_unknown_	molecular_function_unknown_	M/G1	None	-0.01222	-0.00698	0.01838	-0.01562	0.03539	-0.0147	-0.03856	0.01301	0.00454	0.01788	-0.00648	-0.02306	0.00868	-0.00365	-0.018	-0.00192	-0.00433	-0.01444
YJR001W	None	biological_process_unknown_	molecular_function_unknown_	S/G2	None	-0.00944	-0.00714	-0.01512	-0.02733	-0.00924	0.00623	0.00455	-0.01712	0.01995	0.00601	-0.00411	-0.01534	-0.00485	-0.00388	0.01358	0.01299	-0.00658	-0.00319
YJR002W	MPP10	rRNA_modification*_	small_nuclear_ribonucleoprotein_	None	None	-0.01249	-0.0102	-0.01866	-0.00671	-0.00878	-0.00945	0.00567	0.00132	-0.02074	0.00782	-0.00472	-0.01473	-0.00668	0.00295	-0.00915	-0.00138	0.00049	-0.00016
YJR003C	None	biological_process_unknown_	molecular_function_unknown_	G2/M	None	-0.01026	-0.01129	-0.01749	-0.00527	-0.00806	-0.00813	0.01133	0.00771	-0.00797	0.00357	-0.00725	-0.00056	0.00479	0.00548	0.008	0.00551	0.00655	0.00527
YJR007W	SUI2	protein_synthesis_initiation_	translation_initiation_factor_	None	None	-0.00883	-0.00701	0.01373	-0.01009	0.00228	-0.00148	0.02532	-0.00154	-0.01193	-0.00197	-0.00104	0.01395	-0.01817	-0.00143	0.00282	0.00162	0.00502	-0.00621
YJR009C	TDH2	glycolysis*_	glyceraldehyde_3-phosphate_dehydrogenase_(phosphorylating)_	None	None	-0.00679	-0.0048	0.01129	-0.01915	0.00807	0.00216	0.02903	-0.0034	-0.00523	0.00849	-0.0115	0.01727	-0.01289	0.00285	0.01256	-0.02103	0.00638	-0.01609
YJR013W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01139	-0.01799	0.00912	0.01219	-0.02013	0.01709	0.00819	0.02153	0.01426	-0.01138	0.00848	-0.00799	0.00261	-0.01048	0.00136	-0.00195	0.0088	0.02291
YJR014W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00382	-0.0021	0.01081	-0.00624	0.0032	-0.00715	0.02154	0.00912	0.0098	-0.00744	-0.00654	0.00481	-0.01582	-0.01075	-0.00745	-0.00022	-0.00641	-0.02283
YJR015W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00723	-0.00752	0.00788	0.00529	-0.00243	0.00485	-0.01	-0.01041	-0.00171	-0.02525	0.02398	0.00581	-0.00398	0.02327	0.01328	0.01503	0.00821	-0.01275
YJR016C	ILV3	biological_process_unknown_	dihydroxy-acid_dehydratase_	None	None	-0.00209	-0.00155	0.01816	-0.01191	0.0165	-0.00654	0.04665	-0.00729	0.00649	-0.0026	-0.01841	-0.01525	0.0022	0.00084	-0.00683	-0.00692	-0.00372	-0.0216
YJR017C	ESS1	mRNA_processing_	peptidylprolyl_isomerase_	None	None	-0.01138	-0.00453	-0.01253	-0.01073	0.01031	-0.01135	-0.01493	-0.00787	-0.00319	-0.00293	-0.002	0.01328	-0.00782	-0.00759	0.00414	0.00208	0.0015	-0.00885
YJR018W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01025	-0.00957	-0.01424	-0.01868	0.00583	-0.0016	0.01375	0.00174	0.00065	0.02258	-0.00003	0.001	0.00007	-0.01456	0.00092	0.00714	0.00727	-0.00042
YJR025C	BNA1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00737	-0.00154	-0.00424	-0.01071	0.01112	0.01173	-0.00548	-0.00105	0.0137	-0.00084	-0.01926	0.01072	0.00034	-0.01839	-0.00145	0.01661	-0.00535	-0.01935
YJR026W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.0074	-0.01609	0.01305	0.00998	-0.0189	0.01098	0.09738	-0.00964	-0.01858	0.02659	-0.08196	0.09273	0.09816	0.00859	0.07669	0.02677	0.02184	-0.03092
YJR027W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.02398	-0.01213	-0.0176	-0.00635	0.01297	-0.00794	0.01449	-0.04266	0.01181	0.01764	-0.02456	-0.00607	0.01165	-0.00269	-0.01754	-0.00392	0.01382	-0.00967
YJR028W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00794	-0.01521	0.0122	0.01154	0.02331	-0.01354	0.10314	-0.02506	-0.01693	0.03323	-0.08537	0.11375	0.08024	-0.01698	0.10588	0.06947	0.0079	-0.04295
YJR029W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.02123	-0.02218	0.03398	0.01271	-0.00334	-0.00252	0.03644	-0.03696	0.00165	0.01294	-0.02577	-0.00901	-0.01379	0.03463	0.00997	0.01796	0.00059	0.0032
YJR031C	GEA1	ER_to_Golgi_transport*_	ARF_small_monomeric_GTPase_	None	None	-0.00647	-0.01497	-0.00444	-0.00301	0.00554	0.02433	0.02093	-0.00491	0.00301	-0.00332	-0.00337	-0.01605	-0.01552	0.00755	-0.00246	-0.00995	0.00991	0.02099
YJR033C	RAV1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01534	-0.00737	0.00655	-0.02651	-0.02819	0.00109	0.03901	0.04003	0.03667	0.00771	-0.01474	-0.00004	0.04031	0.00828	-0.00252	0.02684	0.00987	0.00717
YJR040W	GEF1	transport_	molecular_function_unknown_	None	None	-0.00939	-0.00746	0.0093	0.00174	0.0036	-0.0016	-0.01173	0.00469	-0.00664	-0.0225	-0.00964	-0.00063	-0.00045	-0.00705	-0.00447	0.00339	-0.00373	-0.00406
YJR041C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01189	-0.00727	-0.0127	-0.00773	0.00741	-0.01017	0.01268	-0.01997	0.00533	-0.0181	-0.00875	0.00741	0.00864	0.00333	-0.0013	0.01342	0.0004	-0.01287
YJR045C	SSC1	protein_folding*_	heat_shock_protein_	None	None	-0.01177	-0.01044	-0.00582	-0.00664	-0.00316	-0.01836	-0.00041	-0.03433	0.00886	0.01001	-0.00988	-0.01834	-0.00656	-0.01952	-0.00223	0.00932	0.01792	-0.00278
YJR046W	TAH11	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00946	-0.00722	-0.00699	-0.00582	-0.00045	-0.00135	-0.00616	-0.01343	0.01021	-0.01279	-0.00692	-0.00995	0.00518	-0.01195	0.02369	-0.00167	0.0104	0.00298
YJR047C	ANB1	protein_synthesis_initiation_	translation_initiation_factor_	None	None	-0.01107	-0.00753	0.00762	-0.00784	0.01694	-0.00532	0.00265	-0.01634	0.01543	-0.00661	0.00346	0.00554	0.00515	-0.00771	0.01467	-0.00945	0.01895	0.0052
YJR048W	CYC1	oxidative_phosphorylation_	molecular_function_unknown_	S/G2	None	-0.00908	-0.01032	-0.02105	-0.02127	-0.00586	0.00992	0.00406	0.00843	0.00985	-0.007	-0.00285	-0.0025	-0.00329	-0.02335	-0.00102	0.01584	-0.00394	0.01037
YJR049C	UTR1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01075	-0.01084	-0.00932	-0.00052	0.01935	-0.00623	0.01645	-0.04209	0.00352	0.00781	-0.01185	0.00556	0.01903	-0.03038	-0.03091	-0.00613	0.03661	0.00349
YJR058C	APS2	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00627	-0.00471	0.00357	0.00388	0.00274	0.00653	0.00286	0.01138	0.0043	-0.01517	-0.00369	0.01342	0.00258	-0.01023	0.01377	0.00412	-0.0103	-0.00967
YJR059W	PTK2	polyamine_transport_	molecular_function_unknown_	None	None	-0.00801	-0.01674	0.01545	0.01777	0.00162	0.00971	-0.00026	0.00313	0.02501	0.00029	0.01972	-0.00926	-0.0067	0.01099	-0.00678	-0.00029	-0.00569	-0.00199
YJR060W	CBF1	mitosis_	molecular_function_unknown_	None	None	-0.00613	-0.01208	0.01214	0.00452	-0.00276	-0.00396	0.00048	-0.00556	0.00386	-0.00892	0.00298	0.00036	-0.00519	-0.00417	0.00287	-0.00193	0.0118	-0.00609
YJR062C	NTA1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00623	-0.00567	0.00541	0.01349	0.00474	0.00384	-0.00751	0.00637	0.01012	-0.01779	0.00218	-0.00869	-0.00655	0.00814	0.00291	-0.01766	0.00577	-0.01417
YJR064W	CCT5	protein_folding*_	chaperone_	None	None	-0.0104	-0.00941	0.00529	0.00748	-0.00969	-0.00438	-0.00374	0.00487	-0.00321	-0.01275	-0.00204	-0.00467	-0.00505	0.00917	0.00453	-0.01159	0.00182	-0.00114
YJR065C	ARP3	actin_filament_organization_	structural_protein_of_cytoskeleton*_	None	None	-0.01234	-0.00856	-0.00402	-0.00305	0.01365	0.00765	-0.01588	-0.01659	0.00177	0.01594	0.00278	-0.01024	0.00054	0.00665	-0.00558	-0.00006	-0.00176	-0.00679
YJR066W	TOR1	meiosis*_	phosphatidylinositol_3-kinase_	None	None	-0.00688	-0.00828	-0.00436	-0.01279	0.00213	0.01208	-0.00456	0.01201	-0.00168	0.0167	-0.00563	-0.00963	0.02581	0.00519	-0.01477	-0.00536	-0.0018	-0.01223
YJR067C	YAE1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01501	-0.01249	0.00402	-0.00587	-0.0056	-0.00224	-0.00799	-0.02006	-0.01073	0.0098	0.00481	-0.00438	-0.01003	-0.00165	-0.01448	0.00663	0.00643	0.01278
YJR068W	RFC2	leading_strand_elongation*_	adenosinetriphosphatase*_	None	None	-0.00962	-0.00388	-0.01643	-0.01385	0.0086	0.00029	-0.00651	0.00917	0.00729	-0.01343	-0.00358	-0.00142	-0.0066	0.0026	-0.00564	-0.00278	-0.0009	-0.00543
YJR069C	HAM1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.00946	-0.00475	-0.01427	-0.01516	-0.00088	0.00118	0.00421	0.01835	0.00276	-0.00535	-0.00658	-0.00131	0.00093	0.00692	-0.00495	-0.00548	-0.00121	-0.00254
YJR070C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01095	-0.00502	-0.01729	-0.01044	0.0133	-0.0109	0.00338	-0.00172	-0.00802	-0.01643	0.00194	0.01811	-0.00798	-0.01344	0.00537	-0.0024	-0.00005	-0.00274
YJR071W	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01078	-0.00901	-0.01142	-0.00492	-0.0018	-0.00472	0.00085	-0.00567	-0.01037	-0.0052	0.00574	-0.00657	-0.00797	-0.00611	-0.00507	0.0022	0.00928	0.00274
YJR072C	None	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01139	-0.00693	-0.02014	-0.00835	0.0144	-0.01214	-0.00155	-0.00298	-0.00079	-0.0118	-0.00709	0.01154	-0.0065	-0.01777	-0.00699	-0.0005	0.01348	-0.00003
YJR073C	OPI3	phosphatidylcholine_biosynthesis_	phosphatidylethanolamine_N-methyltransferase_	None	None	-0.00406	-0.00436	-0.0103	-0.00995	0.01076	0.01969	-0.01426	-0.01768	0.01255	0.02022	0.00541	-0.00335	-0.01004	-0.01793	-0.00374	0.00613	0.0034	-0.02576
YJR074W	MOG1	biological_process_unknown_	molecular_function_unknown_	None	None	-0.01199	-0.00922	-0.01585	-0.0076	0.00541	0.00126	-0.00846	-0.0076	0.01157	0.00409	-0.01198	0.00079	0.00657	-0.00517	-0.00933	-0.00204	0.00213	-0.00257
YJR075W	HOC1	cell_wall_mannoprotein_biosynthesis*_	"alpha-1,6-mannosyltransferase_"	None	None	-0.00912	-0.00857	-0.00849	-0.00557	-0.01323	0.0047	-0.00848	0.00424	0.00426	-0.00095	0.02255	-0.01153	-0.00496	-0.01038	0.00851	0.01051	0.01423	-0.00032
YJR076C	CDC11	establishment_of_cell_polarity_(sensu_Saccharomyces)*_	structural_protein_of_cytoskeleton_	None	None	-0.00955	-0.00894	-0.02358	-0.01511	-0.01059	0.00206	-0.00092	-0.01155	0.01053	-0.00702	0.00074	-0.00779	0.00149	-0.0011	0.00829	-0.00458	0.00191	-0.00428
YJR077C	MIR1	phosphate_transport_	inorganic_phosphate_transporter_	None	None	-0.01288	-0.01472	0.00503	0.00557	0.00446	-0.00295	-0.00464	-0.00097	0.01533	-0.00418	-0.00155	0.00495	-0.00887	-0.0037	0.01495	0.00674	-0.00448	0.00943
