						y744n40	y744n98	y744n41	y744n101	y744n88	y744n102	y744n89	y744n32	y744n90	y744n51	y744n96	y744n73	y744n97	y744n52	y744n100	y744n94	y744n103	y744n72
YGL010W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.639	0.788	0.721	0.814	0.523	0.986	0.683	0.904	0.697	1.199	0.674	0.888	0.774	1.246	0.706	0.702	1.016	0.75
YGL011C	SCL1	ubiquitin-dependent_protein_degradation_	multicatalytic_endopeptidase_	None	None	0.866	0.642	0.706	0.864	0.772	0.929	0.746	0.982	0.92	0.852	0.935	1.006	0.815	1.216	0.894	0.771	0.947	0.71
YGL012W	ERG4	ergosterol_biosynthesis_	sterol_C-24(28)_reductase_	None	None	0.329	0.356	0.385	0.633	0.635	0.998	0.828	0.889	0.743	1.225	0.733	0.882	0.831	1.259	0.959	0.726	0.914	0.729
YGL013C	PDR1	transport_	molecular_function_unknown_	None	None	0.697	0.436	0.5	0.641	0.6	0.995	0.843	0.962	0.903	0.87	0.819	0.951	0.715	1.317	1.029	1.024	0.814	0.769
YGL014W	None	cell_aging*_	molecular_function_unknown_	None	None	0.784	0.351	0.486	0.676	0.677	0.741	0.812	0.741	0.642	0.863	0.476	0.808	0.698	1.21	0.903	0.591	1.05	0.602
YGL015C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.709	0.536	0.599	0.901	0.7	1.026	0.652	0.883	0.638	0.692	0.778	0.913	0.744	1.227	0.831	0.762	0.939	0.771
YGL016W	KAP122	biological_process_unknown_	molecular_function_unknown_	None	None	0.92	0.388	0.662	0.912	0.863	1.279	0.631	0.753	0.568	0.822	0.724	0.866	0.766	1.237	1.029	0.651	1.199	0.757
YGL017W	ATE1	ubiquitin-dependent_protein_degradation*_	arginyltransferase_	None	None	0.899	0.574	0.551	0.626	0.675	0.75	0.603	0.772	0.729	0.736	0.874	0.952	0.742	1.224	0.722	0.771	0.796	Null
YGL018C	JAC1	aerobic_respiration_	cochaperone_	None	None	0.644	Null	0.457	0.706	0.698	0.989	0.744	0.843	0.63	1.174	0.591	0.901	0.733	Null	Null	0.667	0.905	1.033
YGL019W	CKB1	establishment_of_cell_polarity_(sensu_Saccharomyces)*_	casein_kinase_II_	None	None	0.832	0.584	0.621	0.788	0.813	0.998	0.672	0.964	0.855	0.737	0.831	1.016	0.816	1.2	0.978	0.848	0.947	0.709
YGL020C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.647	0.507	0.505	0.635	0.734	0.843	0.971	0.913	0.75	0.823	0.536	0.797	0.749	0.999	0.903	0.635	1.186	0.61
YGL021W	ALK1	biological_process_unknown_	molecular_function_unknown_	G2/M	None	0.31	0.365	Null	0.291	Null	0.85	1.315	1.338	1.078	1.208	0.488	0.56	0.429	0.932	0.97	0.931	1.983	1.045
YGL022W	STT3	protein_glycosylation_	molecular_function_unknown_	None	None	0.683	0.436	0.588	Null	1.058	0.837	1.077	0.725	0.681	0.882	0.669	0.967	0.855	1.327	0.827	0.722	1.019	0.657
YGL023C	PIB2	biological_process_unknown_	molecular_function_unknown_	None	None	0.921	0.621	0.83	0.829	1.112	0.985	0.991	0.847	0.725	1.157	0.889	1.113	0.937	1.573	1.168	0.832	1.287	0.856
YGL025C	PGD1	transcription_from_Pol_II_promoter_	RNA_polymerase_II_transcription_mediator_	None	None	0.768	0.481	0.562	0.658	0.885	0.591	0.765	0.74	0.588	Null	0.697	0.883	0.759	Null	0.896	0.634	1.122	Null
YGL026C	TRP5	biological_process_unknown_	tryptophan_synthase_	None	None	1.037	0.635	0.805	0.807	1.001	0.839	1.012	0.714	0.733	0.979	0.766	1.188	0.907	1.298	0.93	0.736	1.125	0.745
YGL027C	CWH41	cell_wall_organization_and_biogenesis_	mannosyl-oligosaccharide_glucosidase_(processing_A-glucosidase_I)_	G1	None	0.809	0.497	0.812	0.935	1.478	1.167	1.182	0.82	0.743	0.926	0.853	1.199	1.011	1.503	1.29	0.838	1.161	0.577
YGL028C	SCW11	biological_process_unknown_	molecular_function_unknown_	G1	None	1.608	0.155	0.103	0.095	0.156	0.096	0.103	0.088	0.091	0.289	0.553	1.206	0.836	0.827	0.511	0.301	0.34	0.176
YGL029W	CGR1	ribosome_biogenesis_	molecular_function_unknown_	None	None	1.117	0.393	0.432	0.672	0.826	0.679	0.804	0.833	0.778	0.849	0.699	0.919	0.738	1.131	0.7	0.614	1.126	0.612
YGL030W	RPL30	protein_biosynthesis*_	structural_protein_of_ribosome_	None	None	0.854	0.561	0.557	0.679	0.67	0.73	0.716	0.75	0.591	0.855	0.533	0.801	0.873	1.061	0.852	0.531	1.335	0.662
YGL031C	RPL24A	protein_biosynthesis_	structural_protein_of_ribosome*_	None	None	1.179	0.707	0.714	0.841	0.749	0.763	0.852	0.958	0.947	1.049	1.039	1.092	0.941	1.605	1.436	0.8	1.554	0.751
YGL032C	AGA2	agglutination_	cell_adhesion_receptor_	M/G1	None	10.441	4.799	2.278	1.148	0.33	0.454	0.299	0.386	0.356	0.872	0.757	0.992	0.863	1.012	0.665	0.458	0.726	0.675
YGL035C	MIG1	transcription_regulation_from_Pol_II_promoter*_	DNA_binding*_	None	None	0.517	0.543	0.547	0.593	0.651	0.665	0.454	0.673	0.61	0.852	1.248	1.183	0.845	1.088	0.883	0.878	0.748	0.599
YGL036W	MTC2	biological_process_unknown_	molecular_function_unknown_	None	None	0.957	0.839	0.578	0.641	0.663	0.776	0.885	1.092	0.659	1.222	0.725	0.94	0.604	1.064	0.853	0.708	1.116	0.785
YGL037C	PNC1	biological_process_unknown_	nicotinamidase_	M/G1	None	0.866	1.602	1.474	1.445	0.789	0.737	0.355	0.479	0.408	0.598	0.687	0.968	0.737	0.8	0.734	0.63	0.694	0.466
YGL038C	OCH1	N-linked_glycoprotein_maturation_	"alpha-1,6-mannosyltransferase_"	G1	None	0.456	0.557	0.898	1.169	0.629	0.889	0.481	0.562	0.505	1.206	0.878	1.624	1.02	1.585	0.883	0.681	0.691	0.642
YGL039W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.111	0.92	0.865	0.971	0.874	0.859	0.536	0.767	0.701	0.859	0.986	1.179	0.873	1.506	1.011	0.816	0.849	0.653
YGL040C	HEM2	biological_process_unknown_	porphobilinogen_synthase_	None	None	0.618	0.646	0.528	0.7	0.636	0.804	0.704	0.677	0.687	1.309	0.764	0.942	0.735	1.134	0.79	0.654	0.773	0.725
YGL041C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.821	0.723	0.746	0.762	0.746	0.987	0.644	0.973	0.796	0.828	0.844	1.004	0.744	1.413	0.836	0.83	0.796	Null
YGL042C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.607	0.526	0.485	0.759	0.638	0.987	0.668	0.872	0.689	1.201	0.744	1.007	0.721	1.293	0.725	0.754	0.988	0.781
YGL043W	DST1	meiotic_recombination*_	positive_transcription_elongation_factor_	None	None	0.781	1.02	0.478	0.491	0.736	0.806	0.828	0.67	0.882	0.844	0.667	0.811	0.746	1.035	0.888	0.638	0.782	0.774
YGL044C	RNA15	biological_process_unknown_	molecular_function_unknown_	None	None	0.858	0.52	0.515	0.747	0.763	0.712	0.732	0.79	0.627	0.883	0.524	0.918	0.732	1.093	0.786	0.564	1.121	0.686
YGL048C	RPT6	ubiquitin-dependent_protein_degradation_	adenosinetriphosphatase*_	None	None	1.02	0.573	0.68	0.855	0.876	0.735	0.934	0.689	0.728	1.016	0.697	0.954	0.778	1.08	0.825	0.654	1.042	0.713
YGL049C	TIF4632	protein_synthesis_initiation_	translation_initiation_factor_	None	None	0.869	0.526	0.601	0.627	0.799	1.119	0.977	0.926	0.718	1.097	0.94	1.093	0.77	1.409	1.136	0.877	1.241	0.691
YGL050W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.074	0.555	0.642	0.75	0.8	0.828	0.893	0.785	0.745	1.041	0.638	0.94	0.837	1.368	0.867	0.649	0.807	0.779
YGL051W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.791	0.806	0.738	0.772	0.81	1.046	0.859	0.884	0.716	0.985	0.785	1.054	0.819	1.32	1.003	0.623	1.191	0.65
YGL052W	None	biological_process_unknown_	molecular_function_unknown_	None	None	3.248	0.906	0.602	0.714	0.822	0.882	0.861	0.718	0.655	0.925	0.623	0.943	0.856	1.228	0.854	0.521	1.156	0.619
YGL053W	PRM8	mating_(sensu_Saccharomyces)_	molecular_function_unknown_	None	None	3.83	1.144	0.854	0.731	0.997	1.25	0.887	0.943	0.767	1.145	0.869	1.09	0.875	1.474	1.058	0.657	1.215	0.67
YGL054C	ERV14	ER_to_Golgi_transport*_	molecular_function_unknown_	None	None	0.904	0.642	0.624	0.779	0.894	0.885	0.907	0.963	0.726	0.957	0.707	0.814	0.839	1.153	0.964	0.572	1.504	0.709
YGL055W	OLE1	mitochondrion_inheritance*_	stearoyl-CoA_desaturase_	M/G1	None	1.243	0.866	0.727	0.409	0.285	0.123	0.192	0.229	0.274	0.816	1.133	1.55	1.233	1.86	1.014	0.388	0.589	0.454
YGL056C	SDS23	biological_process_unknown_	molecular_function_unknown_	None	None	0.665	0.474	0.387	0.572	0.608	0.665	0.723	0.627	0.676	1.068	0.749	0.849	0.745	1.049	0.603	0.75	0.686	0.726
YGL057C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.883	0.598	0.772	0.621	1.025	0.786	0.509	0.926	0.714	0.763	Null	1.013	0.707	1.325	0.785	0.798	0.814	Null
YGL058W	RAD6	ubiquitin-dependent_protein_degradation*_	ubiquitin_conjugating_enzyme_	None	None	0.756	0.647	0.484	0.766	0.61	0.921	0.604	0.861	0.67	1.068	0.718	0.957	0.791	1.324	0.787	0.724	0.952	0.785
YGL060W	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.73	Null	0.534	0.901	0.643	0.95	0.58	0.743	0.567	0.777	0.623	1.131	0.817	1.257	0.614	0.627	0.859	0.682
YGL062W	PYC1	gluconeogenesis*_	pyruvate_carboxylase_	None	None	0.799	1.418	2.45	3.315	2.349	1.687	0.944	0.93	0.816	0.936	0.857	1.026	0.691	1.068	0.733	0.747	0.62	0.656
YGL063W	PUS2	biological_process_unknown_	pseudouridylate_synthase_	None	None	0.769	0.557	0.739	0.864	1.015	0.854	0.57	0.915	0.88	0.834	Null	1.073	0.852	1.54	1.21	1.059	0.777	Null
YGL064C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.673	0.55	0.481	0.797	0.704	0.885	0.705	0.814	0.719	0.988	0.701	0.959	0.711	1.416	0.713	0.69	0.814	0.78
YGL065C	ALG2	oligosaccharide-lipid_intermediate_assembly_	glycolipid_mannosyl_transferase_	None	None	0.622	0.634	0.78	0.895	1.094	1.003	0.714	1.037	0.857	0.801	Null	0.962	Null	1.475	1.204	1.041	0.777	Null
YGL067W	NPY1	biological_process_unknown_	NAD+_pyrophosphatase_	None	None	1.106	0.7	0.883	0.91	1.059	0.892	0.577	0.885	0.855	0.987	Null	1.092	0.923	1.387	0.916	0.871	0.719	Null
YGL068W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.754	0.58	0.586	0.764	0.75	0.882	0.923	0.977	0.694	0.776	0.637	0.884	0.886	1.163	0.875	0.575	1.25	0.657
YGL069C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.709	0.542	0.695	0.772	0.951	0.395	0.934	0.962	0.718	0.904	0.739	1.004	0.748	1.443	1.025	0.625	1.199	0.561
YGL070C	RPB9	transcription_from_Pol_II_promoter_	DNA-directed_RNA_polymerase_II_	None	None	0.698	0.629	0.507	0.702	0.693	0.885	0.857	0.932	0.672	0.896	0.648	0.92	0.84	1.316	0.895	0.611	1.352	0.679
YGL071W	RCS1	iron_transport_	molecular_function_unknown_	None	None	0.653	0.469	0.608	0.82	1.06	1.195	0.8	0.695	0.818	1.038	0.789	1.036	0.787	1.07	1.286	0.764	1.236	0.76
YGL072C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.728	0.586	0.676	0.81	0.784	0.772	0.918	0.71	0.676	1.003	0.609	0.921	0.778	1.057	0.771	0.585	1.206	0.68
YGL073W	HSF1	stress_response*_	transcription_factor_	None	None	0.773	0.522	0.737	0.749	0.891	0.921	0.885	0.77	0.726	0.957	0.986	0.98	0.663	1.297	1	0.717	1	Null
YGL074C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.055	0.549	0.658	0.65	Null	0.699	0.815	0.806	0.641	1.194	Null	0.51	1.069	1.401	0.731	0.74	0.964	0.858
YGL076C	RPL7A	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	1.006	0.56	0.597	0.648	0.648	0.677	0.78	0.746	0.664	0.959	0.641	0.943	0.92	1.309	1.001	0.663	0.755	0.816
YGL077C	HNM1	transport_	choline_permease_	None	None	0.749	0.595	0.903	0.551	0.745	0.861	0.845	0.614	0.686	0.772	Null	0.779	0.712	1.133	1.061	0.647	0.973	0.549
YGL078C	DBP3	35S_primary_transcript_processing*_	ATP_dependent_RNA_helicase_	None	None	0.991	0.398	0.281	0.484	0.733	0.639	0.883	0.863	0.773	0.908	0.654	0.991	0.872	1.296	0.729	0.658	1.152	0.781
YGL079W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.806	0.403	0.732	0.649	0.947	1.038	0.858	0.832	0.686	0.899	Null	0.874	0.798	1.294	0.874	0.599	1.02	Null
YGL080W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.758	0.889	0.755	0.984	0.814	1.033	0.574	0.935	0.736	1.159	0.783	1.118	0.783	1.264	0.716	0.612	1.002	0.807
YGL082W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.804	0.705	0.557	0.648	0.503	0.86	0.499	0.789	0.628	0.893	0.528	0.804	0.599	1.025	0.696	0.615	0.907	0.695
YGL083W	SCY1	biological_process_unknown_	molecular_function_unknown_	None	None	0.559	Null	0.308	0.523	0.606	0.882	0.754	0.891	0.717	0.897	0.647	0.76	0.809	1.226	0.922	0.835	0.894	0.772
YGL084C	GUP1	biological_process_unknown_	molecular_function_unknown_	None	None	0.609	0.656	0.646	0.778	0.689	1.053	0.668	0.899	0.663	0.952	0.564	0.936	0.701	1.063	0.776	0.629	1.009	0.672
YGL085W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.786	Null	0.496	0.749	Null	0.856	0.604	0.81	0.654	0.726	0.641	0.842	1.089	Null	0.813	0.618	0.76	0.675
YGL086W	MAD1	mitotic_spindle_checkpoint_	molecular_function_unknown_	None	None	0.832	0.549	0.548	0.663	0.656	0.624	0.745	0.623	0.569	0.699	0.777	0.974	0.848	0.98	0.757	0.612	0.911	0.704
YGL087C	MMS2	ubiquitin-dependent_protein_degradation*_	ubiquitin_conjugating_enzyme_	None	None	0.802	Null	0.601	0.771	Null	0.857	0.669	0.87	0.671	0.688	0.617	0.741	0.65	0.841	0.747	0.613	0.785	0.652
YGL089C	MF(ALPHA)2	pheromone_response_	pheromone_	G1	None	0.886	Null	0.637	0.827	Null	0.896	0.7	0.873	0.66	0.813	0.717	1.051	0.772	1.273	0.81	0.788	0.792	0.742
YGL090W	LIF1	double-strand_break_repair_via_nonhomologous_end-joining_	molecular_function_unknown_	M/G1	None	0.624	0.586	0.535	0.655	0.617	0.831	0.561	0.741	0.619	0.961	0.635	1.056	0.644	1.079	0.553	0.642	0.838	0.693
YGL091C	NBP35	biological_process_unknown_	molecular_function_unknown_	None	None	0.893	Null	0.588	0.808	0.577	0.929	0.778	0.9	0.685	0.929	0.695	0.966	0.759	1.133	0.843	0.688	0.849	0.712
YGL093W	SPC105	microtubule_nucleation_	structural_protein_of_cytoskeleton_	G1	None	0.606	0.469	0.515	0.882	0.989	0.765	0.975	0.753	0.525	Null	0.54	0.894	0.914	1.124	1.045	0.718	0.873	0.6
YGL094C	PAN2	mRNA_processing_	molecular_function_unknown_	None	None	0.662	0.379	0.625	0.86	0.928	0.772	0.744	0.647	0.479	0.97	0.598	1.225	0.749	1.37	0.936	0.678	0.965	0.652
YGL095C	VPS45	Golgi_to_vacuole_transport*_	vacuolar_assembly_	None	None	1.054	0.733	0.855	0.951	0.771	0.931	0.771	0.892	0.677	1.008	0.704	1.074	0.951	1.188	0.985	0.654	1.266	0.762
YGL097W	SRM1	biological_process_unknown_	molecular_function_unknown_	None	None	0.648	0.398	0.382	0.634	0.707	0.822	0.924	0.803	0.756	0.837	0.632	0.853	0.815	1.12	0.991	0.681	1.219	0.693
YGL098W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.962	0.999	0.804	0.711	0.744	0.964	0.795	0.917	0.645	1.404	0.59	1.173	0.67	1.395	0.722	0.724	1.145	0.837
YGL099W	KRE35	biological_process_unknown_	molecular_function_unknown_	None	None	0.817	0.379	0.345	0.512	0.573	0.595	0.758	0.731	0.719	0.947	0.677	0.967	0.828	1.125	0.844	0.635	1.016	0.743
YGL100W	SEH1	mRNA-nucleus_export*_	structural_protein_	None	None	0.787	0.56	0.575	0.72	0.723	0.792	0.816	0.792	0.656	1.208	0.667	1.002	0.698	1.067	0.805	0.651	1.101	0.707
YGL101W	None	biological_process_unknown_	molecular_function_unknown_	S/G2	None	0.609	0.457	0.329	0.488	0.63	0.945	0.92	0.907	0.569	1.045	0.407	0.849	0.781	1.021	1.052	0.69	1.395	0.65
YGL102C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.988	0.663	0.758	0.823	0.74	0.764	0.913	0.841	0.706	1.25	0.703	1.253	0.807	1.482	1.047	0.75	1.202	0.919
YGL103W	RPL28	protein_biosynthesis_	structural_protein_of_ribosome*_	None	None	1.141	0.723	0.766	0.82	0.887	0.836	0.879	0.908	0.891	1.374	0.926	1.112	1.054	1.708	1.306	0.848	1.736	0.975
YGL104C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.608	0.836	0.767	0.89	0.623	0.993	0.644	0.889	0.653	1.157	0.628	1.037	0.704	1.135	0.678	0.696	0.948	0.751
YGL105W	ARC1	biological_process_unknown_	molecular_function_unknown_	None	None	1.012	0.551	0.661	0.853	0.725	0.929	0.735	0.977	0.768	1.097	0.897	1.126	0.895	1.372	0.919	0.862	1.066	0.87
YGL106W	MLC1	establishment_of_cell_polarity_(sensu_Saccharomyces)*_	microfilament_motor_	None	None	0.832	0.746	0.599	0.719	0.569	0.814	0.574	0.747	0.64	1.105	0.642	0.931	0.637	1.067	0.752	0.717	0.995	0.699
YGL107C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.791	0.556	0.569	0.724	0.575	0.88	0.64	0.943	0.679	0.917	0.768	0.943	0.806	1.05	0.798	0.826	0.836	0.737
YGL108C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.567	0.642	0.479	0.724	0.82	1.019	0.641	0.879	0.62	1.112	0.565	0.913	Null	1.137	0.61	0.77	0.969	0.768
YGL109W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.772	Null	0.568	0.743	Null	0.918	0.65	1.079	0.717	0.867	0.751	1.039	0.778	0.992	0.952	0.781	0.856	0.75
YGL110C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.696	0.592	0.486	0.685	0.61	0.862	0.637	0.871	0.637	1.069	0.633	1.024	Null	1.114	0.623	0.701	0.899	0.777
YGL111W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.812	0.371	0.351	0.494	0.613	0.665	0.676	0.789	0.786	0.812	0.823	0.834	0.861	1.058	0.813	0.709	0.787	0.67
YGL112C	TAF60	transcription_initiation_from_Pol_II_promoter*_	general_RNA_polymerase_II_transcription_factor_	None	None	0.474	0.368	0.391	0.507	0.615	0.739	0.589	0.622	0.68	0.984	0.636	0.872	0.684	1.058	0.764	0.765	0.856	0.684
YGL113W	SLD3	DNA_replication_initiation*_	chromatin_binding_	None	None	0.709	0.44	0.427	0.603	0.729	0.65	0.598	0.727	0.717	0.768	0.799	0.984	0.789	0.949	0.854	0.739	0.701	0.653
YGL114W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.642	0.618	0.557	0.743	0.7	0.948	0.737	0.872	0.74	1.152	0.667	0.916	0.679	1.283	0.796	0.775	0.976	0.766
YGL115W	SNF4	biological_process_unknown_	molecular_function_unknown_	None	None	0.979	Null	0.693	0.889	0.811	1.042	0.766	0.946	0.705	0.876	0.841	1.262	0.898	1.479	0.932	0.86	1.014	0.807
YGL116W	CDC20	ubiquitin-dependent_protein_degradation*_	enzyme_activator_	G2/M	G2/M	0.648	0.445	0.395	0.353	Null	0.347	0.617	0.981	1.156	1.411	0.676	0.855	0.455	0.766	0.786	0.577	1.276	1.126
YGL117W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.179	1.063	1.294	0.853	0.834	0.873	0.929	0.948	0.728	Null	0.664	0.981	0.967	1.344	0.824	0.651	Null	0.856
YGL119W	ABC1	complex_III_(ubiquinone_to_cytochrome_c)_	chaperone_	None	None	0.861	0.468	0.48	0.546	0.595	0.726	0.992	0.816	0.712	0.891	0.614	0.907	0.759	0.973	0.786	0.605	1.088	0.704
YGL120C	PRP43	"lariat_formation,_5'-splice_site_cleavage_"	ATP_dependent_RNA_helicase*_	None	None	0.79	0.341	0.349	0.451	0.641	0.715	0.778	0.732	0.826	0.917	0.614	0.949	0.701	1.075	0.775	0.569	0.899	0.686
YGL121C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.948	0.658	0.685	0.883	0.603	0.905	0.859	0.72	0.626	Null	0.54	0.809	0.748	1.053	0.784	0.555	1.184	0.636
YGL122C	NAB2	mRNA_processing_	molecular_function_unknown_	None	None	0.822	0.461	0.518	0.59	0.672	0.746	0.847	0.674	0.677	1.809	0.666	1.004	0.654	1.231	0.669	0.662	0.877	0.742
YGL123W	RPS2	protein_biosynthesis*_	structural_protein_of_ribosome_	None	None	1.353	0.763	0.79	0.924	0.998	0.889	1.032	1.052	0.994	1.485	0.944	1.26	1.073	1.981	1.4	0.954	1.695	1.055
YGL125W	MET13	protein_biosynthesis*_	structural_protein_of_ribosome*_	S	None	0.689	0.89	0.646	0.613	0.737	0.83	0.993	0.675	0.523	0.861	0.513	0.802	0.743	1.061	0.908	0.651	0.969	0.62
YGL126W	SCS3	phospholipid_metabolism_	molecular_function_unknown_	None	None	0.84	0.724	0.766	0.843	0.799	0.589	0.738	0.417	0.475	0.661	0.533	1.026	0.849	1.071	0.673	0.482	0.761	0.562
YGL127C	SOH1	biological_process_unknown_	molecular_function_unknown_	None	None	1.009	0.543	0.695	0.724	0.683	0.667	0.771	0.686	0.647	1.082	0.691	0.933	0.796	1.031	0.735	0.52	0.952	0.651
YGL129C	RSM23	biological_process_unknown_	molecular_function_unknown_	None	None	0.795	Null	0.55	0.658	0.587	0.811	0.675	0.82	0.681	0.763	0.761	0.95	0.766	1.095	0.832	0.738	0.724	0.714
YGL130W	CEG1	biological_process_unknown_	mRNA_guanylyltransferase_	None	None	0.657	0.748	0.656	0.874	0.682	1.161	0.792	0.998	0.743	1.202	0.622	1.152	0.886	1.433	0.869	1.045	0.995	0.848
YGL131C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.89	0.66	0.701	0.959	0.986	0.875	0.931	0.831	0.657	0.873	0.907	0.916	0.737	1.237	1.407	0.76	1.092	Null
YGL132W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.708	0.616	0.563	0.778	0.695	1.055	0.733	0.953	0.682	1.041	0.665	1.036	0.736	1.256	0.647	0.798	0.992	0.792
YGL133W	ITC1	biological_process_unknown_	molecular_function_unknown_	None	None	0.762	0.552	0.546	0.714	0.76	0.767	0.687	0.934	0.827	0.838	0.92	0.958	0.805	1.158	1.105	0.913	0.778	0.786
YGL134W	PCL10	cell_cycle_	molecular_function_unknown_	None	None	0.57	0.527	0.457	0.507	Null	0.843	0.668	0.828	0.664	0.897	0.621	0.75	0.64	1.154	0.736	0.592	0.775	0.652
YGL135W	RPL1B	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	1.2	0.903	0.708	0.96	0.79	1.044	0.686	1.116	0.91	0.985	1.02	1.141	1.077	1.616	1.313	0.922	1.207	0.871
YGL136C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.585	0.525	0.597	0.688	0.689	0.846	0.622	0.74	0.674	1.064	0.742	0.857	0.841	1.178	0.909	0.625	0.94	0.641
YGL137W	SEC27	biological_process_unknown_	molecular_function_unknown_	None	None	0.698	0.554	0.477	0.751	0.708	0.833	0.603	Null	0.676	0.839	0.829	1.002	0.899	1.252	1.042	0.908	0.809	0.749
YGL139W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.686	0.545	0.513	0.673	0.862	1.292	1	1.026	0.741	1.008	0.708	0.8	0.721	1.478	1.369	0.891	1.334	0.689
YGL140C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.887	0.448	0.364	0.542	0.671	0.499	0.74	0.606	0.647	Null	0.589	0.87	0.685	1.102	0.775	0.613	0.851	0.547
YGL142C	GPI10	phospholipid_metabolism_	molecular_function_unknown_	None	None	0.917	0.634	0.729	0.769	0.709	0.613	0.758	0.576	0.721	0.932	0.581	0.986	0.797	1.104	0.745	0.552	0.945	0.706
YGL143C	MRF1	protein_biosynthesis*_	translation_release_factor_	None	None	0.868	0.551	0.659	0.816	0.804	0.774	0.849	0.838	0.633	0.819	0.587	0.944	0.808	1.142	0.717	0.591	1.005	0.712
YGL145W	TIP20	biological_process_unknown_	molecular_function_unknown_	None	None	0.886	0.456	0.574	0.763	0.696	0.731	1.038	0.947	0.795	1.004	0.715	0.897	0.844	1.063	0.871	0.669	1.014	0.732
YGL147C	RPL9A	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	1.106	0.688	0.706	0.72	0.74	0.765	0.871	0.879	0.896	1.186	0.821	1.115	0.964	1.651	1.232	0.808	1.379	0.873
YGL148W	ARO2	biological_process_unknown_	chorismate_synthase_	None	None	0.857	0.524	0.656	0.692	0.759	0.73	0.891	0.756	Null	0.905	0.606	1.123	0.828	1.279	0.918	0.667	1.006	0.79
YGL149W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.948	0.651	0.782	0.861	0.854	0.855	0.871	0.933	0.764	1.143	0.786	1.311	0.795	1.613	0.85	0.727	1.143	0.868
YGL150C	INO80	biological_process_unknown_	molecular_function_unknown_	None	None	0.825	0.443	0.628	1.021	0.919	0.603	0.578	0.565	0.632	0.932	0.758	0.983	0.628	1.102	0.788	0.738	1.251	0.677
YGL151W	NUT1	biological_process_unknown_	molecular_function_unknown_	None	None	0.786	0.474	0.583	0.657	0.825	0.549	0.825	0.834	0.891	1.259	0.83	1.021	0.727	1.125	0.832	0.645	0.894	0.804
YGL152C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.627	0.649	0.468	0.62	0.477	0.858	0.508	0.732	0.561	0.879	0.498	0.884	0.654	Null	0.556	0.633	0.801	0.724
YGL153W	PEX14	protein-peroxisome_targeting_	protein_binding_	None	None	0.562	0.443	0.487	0.563	0.476	0.564	0.494	0.614	0.427	0.733	0.458	0.826	0.53	0.956	0.722	0.509	0.922	Null
YGL154C	LYS5	amino_acid_biosynthesis_	aminoadipate-semialdehyde_dehydrogenase_	None	None	0.765	0.636	0.592	0.787	0.631	0.921	0.62	0.818	0.624	1.045	0.581	0.825	0.756	1.245	0.738	0.634	0.998	0.705
YGL155W	CDC43	establishment_of_cell_polarity_(sensu_Saccharomyces)*_	signal_transducer*_	None	None	0.927	0.573	0.572	0.803	0.603	0.891	0.744	0.989	0.728	0.818	0.717	1.011	0.865	1.287	0.921	0.806	1.005	0.768
YGL156W	AMS1	carbohydrate_metabolism_	alpha-mannosidase_	None	None	1.006	0.995	1.107	1.601	0.96	1.361	0.687	0.857	0.516	1.438	1.028	1.138	0.826	1.517	0.751	0.904	0.72	0.784
